age,income,buys_house
32,1521939,0
36,1257975,1
46,851021,0
46,954208,1
41,1145161,1
59,1006479,1
56,431615,0
53,809981,1
50,825219,0
57,1189658,1
43,1948827,0
30,337852,0
25,1537770,1
56,797839,1
54,530810,0
51,1997555,1
30,1854880,0
39,1885999,1
52,253010,0
21,1480660,0
25,1811029,0
24,1522248,1
36,1107272,0
44,380680,1
36,599130,0
22,1810000,0
48,1596728,0
52,736364,1
47,1928719,1
40,1103057,0
44,1950652,0
32,1823162,1
55,269835,1
53,722757,1
53,836712,0
63,863478,1
57,1502970,0
32,519055,1
23,1190993,0
21,303088,0
53,1788049,1
60,1159296,1
30,1823477,0
63,1413575,1
64,462530,1
49,1733945,0
33,1714520,0
32,1540740,0
51,1815542,1
22,417767,0
55,1309970,1
43,1972881,1
37,1888241,1
46,846004,1
28,387486,1
49,1172320,1
46,1828782,1
30,1733073,0
46,1491132,1
54,1626360,1
61,1933391,1
27,566590,0
24,1418383,0
31,294702,0
49,305509,0
56,555752,0
45,1362886,1
41,1032234,0
56,1971956,1
30,758910,0
57,309935,1
29,460440,0
44,1366495,0
55,1120101,1
55,1158101,1
56,896314,1
38,269519,0
59,911475,0
52,1746780,1
44,1160655,1
43,1505163,0
52,1396688,1
57,244772,0
32,322431,0
33,1082522,0
43,394904,0
45,358988,0
55,1031303,1
61,714743,1
50,239080,1
37,306242,0
40,1029154,1
45,714080,1
42,1277624,0
33,1858069,0
39,1127281,1
56,1565431,1
32,367403,0
61,456392,0
39,220968,1
32,1695761,1
29,1482993,0
27,1784156,1
48,976230,0
34,1158298,0
51,1590179,1
39,1036624,0
36,1857057,1
25,793453,0
55,1054082,1
32,1741773,0
45,1874262,1
41,946470,0
56,353329,1
43,1349164,1
36,1614076,1
59,977110,1
62,1772762,1
59,1995209,1
34,1562392,1
51,1180812,0
25,932943,0
55,1761128,0
43,1532833,1
49,1511414,1
63,215588,1
31,917116,0
38,657301,1
32,966719,1
29,445456,0
30,1965078,0
64,1312949,1
37,730992,1
58,1288712,1
27,1840371,1
33,247361,0
60,1045279,1
62,342513,0
29,1629626,0
47,214677,1
22,1512588,0
25,1856455,1
49,1577984,0
57,1846032,1
58,1915979,1
39,271939,0
28,1526452,1
21,611742,0
42,959848,1
37,1008826,1
27,1609277,1
45,1383750,0
24,695062,0
56,1792023,1
26,322366,0
51,396164,0
39,992644,0
64,1739152,1
59,1023837,1
47,592776,0
30,1587781,0
46,556440,1
39,1041618,0
59,1161743,0
23,1996929,0
33,1633865,0
48,1755343,1
40,734820,0
48,410126,1
28,1189516,0
61,1235340,1
59,1464927,1
21,1577260,1
23,303021,0
33,989703,0
48,200209,0
45,422071,1
53,1909475,1
58,1232345,1
26,1006409,0
64,1453790,0
52,1358496,0
41,1638876,0
36,561732,0
41,1579404,1
31,1478720,1
57,1110294,0
56,1516327,1
55,416194,0
39,556930,0
40,588550,0
38,383011,0
61,873954,0
34,1700174,1
35,207399,0
51,1762818,1
21,1899676,1
23,1142621,0
36,298662,0
43,1544337,1
31,862858,1
32,972592,0
30,1116283,0
52,573221,0
36,1234023,1
28,996060,0
58,593545,1
32,500763,0
44,1255608,0
48,1952030,1
28,1548754,1
48,826946,1
56,1107555,0
46,1764458,0
28,1828128,1
48,1866984,1
48,247850,0
57,1777586,1
61,479916,1
56,548249,1
47,634895,0
37,1186275,1
29,204576,0
53,1930643,1
40,1610124,1
33,634848,0
48,1814340,0
49,1496868,1
33,1672077,1
55,1010586,1
26,1661846,1
38,1527885,0
25,214439,0
45,1628931,1
22,1817382,0
30,1467699,1
50,1799826,0
25,963445,0
53,1548483,1
21,316189,0
38,1358866,0
52,1181598,1
31,1005896,0
41,1159540,0
46,323980,0
45,427021,0
42,888630,0
47,1290875,1
33,941165,0
53,231541,1
54,1584265,1
61,675759,0
55,947358,1
21,329188,0
41,408150,0
26,676186,0
48,419073,0
37,680620,0
25,744444,0
51,941196,1
25,1692273,1
58,868795,0
23,925010,1
43,901696,0
57,1322207,1
57,1024341,0
30,793775,1
30,1138972,0
39,685825,0
37,509799,1
41,627557,1
34,919542,1
29,1300362,0
21,268304,0
33,565750,0
24,1426162,0
21,1893802,1
60,1675771,1
52,684103,0
54,255107,0
48,722058,1
51,1493767,0
28,1905096,0
59,550041,1
46,1321153,1
54,939663,1
23,604062,0
32,460933,0
21,1877044,0
64,482068,0
25,1621913,1
50,869242,1
50,1984210,1
37,1204059,1
43,1249671,1
35,566349,0
57,1944919,1
41,1228719,0
34,1786987,1
22,1735460,1
31,921975,0
59,688409,1
58,1031710,1
54,251999,0
58,1529064,0
54,1810520,1
38,401587,0
50,463356,0
35,1893249,1
47,340073,0
54,1327360,1
58,1085155,1
53,543288,1
44,755656,1
35,1974755,0
50,1309736,0
62,881214,1
37,472859,0
25,1723493,1
49,783072,0
24,591337,0
30,1610364,1
37,1275373,0
30,1558293,0
37,1787644,0
40,762193,0
44,1139077,0
25,1888913,1
54,853939,0
26,1806223,1
22,528206,0
33,1846255,1
63,1554183,1
63,299596,0
31,1081450,0
43,1246072,1
36,874502,1
51,1011536,1
31,208625,0
36,1549919,0
28,1631445,1
24,609142,0
60,493362,0
24,1948408,0
45,554060,0
23,1371758,0
52,1793430,0
23,1281781,1
47,1357660,1
49,229717,1
52,1953920,1
39,1093724,1
41,1142639,0
25,1932100,0
38,1191993,0
48,1549282,0
62,1710902,1
42,220169,0
41,1177362,1
26,1008036,1
21,551814,0
25,576749,0
61,1599458,0
32,1642476,1
46,852428,1
54,302537,1
34,835589,0
46,470151,1
47,1101347,1
29,1480280,0
46,1365995,0
42,1552507,0
50,1036014,1
63,1978727,1
37,953158,1
46,992214,0
56,791058,0
21,1830509,0
28,1876373,1
55,1479372,1
35,1015636,0
42,1790016,1
34,1772730,0
46,648402,1
48,552699,0
43,416096,0
34,958019,0
44,481833,0
22,1954626,0
46,1735834,1
34,545395,0
27,1436968,1
23,1181730,0
43,1960027,1
63,1617285,1
38,1721093,1
58,1287288,1
55,981675,0
35,436502,0
45,1444925,0
57,1560352,1
48,1155535,1
30,1793342,1
59,222551,1
37,1296644,0
59,293608,1
42,759849,1
46,1382540,0
64,486539,0
45,1791620,1
37,447652,0
33,1152155,0
40,451227,0
45,528477,0
24,666961,0
30,699755,0
23,904666,0
61,1925282,1
38,950310,0
56,1760560,1
42,1682610,0
54,1778811,1
28,1192657,0
60,1728032,1
64,327192,0
39,1080670,0
62,1578148,1
61,1147258,0
57,525499,1
26,1700033,0
46,662176,1
54,982780,0
26,438826,0
57,1917354,1
53,950782,1
42,681809,0
41,1434832,1
26,1192934,0
26,372905,1
24,593781,0
50,1266978,0
31,1422493,1
50,1848715,1
51,1261410,1
44,792138,0
29,237180,0
23,1645675,0
51,833976,0
60,1455235,1
57,1617240,1
56,1375711,1
44,354195,0
51,1831345,1
26,797726,0
22,835779,0
40,722741,0
48,610789,0
31,1894708,0
24,557054,0
35,1305070,0
26,605504,0
50,1189924,1
58,579989,1
22,931455,1
35,1303248,1
31,1834685,1
28,269224,1
46,1229922,1
64,434745,1
25,254796,0
26,1686498,0
46,1901418,1
24,1634497,1
39,466167,0
40,937996,0
53,1416383,1
40,763506,0
32,1129717,0
21,1743311,0
46,715729,0
34,1478342,0
58,1014892,1
57,1051112,0
31,1279593,0
56,1216040,1
33,554182,1
63,1148494,1
23,743803,0
53,1671783,1
26,600850,0
30,408106,0
25,1146881,0
43,1019433,1
30,1774255,0
64,920566,1
22,1882252,0
33,1552935,1
60,804008,1
22,489258,0
40,1915818,1
21,1099574,0
57,872633,0
29,1616926,1
37,1818511,0
29,1724457,0
31,1968828,1
35,766967,1
44,1511147,1
58,790555,1
55,200799,0
50,1566379,1
51,1736201,0
25,1779889,1
64,738769,1
34,487555,0
31,1878792,1
29,847302,0
54,608177,1
32,1663559,0
55,714111,0
55,1300266,1
21,777158,0
60,1224040,0
42,891495,0
49,286928,0
28,1770497,0
31,934158,0
61,795053,1
57,1534492,1
34,1005231,0
50,1622771,1
55,854229,1
41,1272131,1
57,1637939,1
25,1646053,0
39,581977,0
34,1055434,1
46,508697,0
24,1513808,0
45,1818647,1
62,725403,1
45,1187618,1
38,923486,0
60,272908,0
28,1841973,1
59,571087,1
60,209422,0
34,374698,0
52,813521,0
58,1042606,1
53,1738148,1
43,1286319,1
35,1974397,1
53,650415,0
45,1641008,0
37,853288,0
53,1633498,1
22,1802294,1
34,228834,0
60,748723,1
60,1335788,0
59,1828661,1
26,636770,0
26,778843,0
23,285350,0
27,214716,0
28,1308837,1
62,1145032,1
35,988427,1
49,1795278,1
53,1917780,0
50,892019,0
59,1264098,1
47,1747241,1
56,1640352,1
49,529782,0
58,1087766,0
53,1912460,1
57,755134,0
47,1060075,0
53,1177600,0
24,1887794,0
42,1535119,1
22,930520,0
30,423734,1
25,1248278,0
30,944027,1
53,323182,0
58,248591,0
33,1400362,1
51,1223671,1
56,1546597,0
44,284106,1
35,1850882,0
49,561998,1
28,364486,0
25,1893696,1
49,810864,0
24,934303,1
32,1949404,1
22,935062,1
47,927468,1
51,292508,1
56,1557555,1
56,918693,1
46,1815328,1
63,1098886,0
47,878283,0
25,1364638,1
40,1179359,1
31,572598,0
30,822672,0
60,1971555,1
58,901506,1
26,1570752,0
28,1624241,1
43,1102810,0
46,741428,1
63,464814,0
32,1547239,1
46,1817376,1
33,1175315,0
60,303565,0
38,870051,1
45,1091588,1
53,1938198,1
60,385964,0
63,1798459,1
32,1436855,1
64,1246094,1
56,1495237,1
24,1413088,1
25,1519350,0
57,1673042,0
28,1508876,1
62,1488220,1
48,954108,0
51,932878,0
29,1322767,1
49,1201622,0
34,1349167,0
60,1836617,1
61,1752053,1
42,1833384,0
31,466152,0
43,1686256,0
21,569552,0
57,462640,1
41,561911,0
46,1246251,0
56,485356,0
43,1031659,1
21,1724205,0
60,1106185,1
35,1368694,1
41,1987282,1
29,472028,0
29,316481,0
30,268259,0
46,249810,1
61,1378502,1
55,1777625,1
45,216375,1
46,438117,1
31,1142722,0
58,1410213,1
22,302654,0
27,1019407,1
38,1931009,1
47,400798,0
54,332955,0
47,1185926,0
37,1953565,1
63,1968106,1
64,274489,1
44,732669,0
45,344867,0
27,262999,0
26,512051,0
44,1056899,1
53,893852,1
49,619627,0
63,1097156,0
42,1400182,1
46,1670973,0
48,565213,0
41,744284,0
27,1976025,0
37,1354258,1
40,545753,0
61,709220,1
40,1190170,1
42,1933341,0
48,1612210,0
60,271325,1
27,1801794,0
21,576570,0
52,1266105,1
33,777834,1
50,1518662,1
43,1660088,1
39,906376,1
52,822068,0
50,1511016,1
49,1316521,1
49,259980,1
50,1043214,1
36,365301,0
60,820670,0
39,1302020,0
38,497180,1
21,1757474,1
34,1508762,1
22,882527,0
48,1038099,1
50,1867391,1
58,1331913,1
24,1562188,1
21,1321470,1
28,646300,0
49,787426,0
59,1533308,1
23,1049333,0
52,610887,0
30,1243228,0
30,1331614,0
39,1673437,0
54,1911573,1
53,1118164,0
43,569355,1
48,993354,0
52,1866561,1
27,1424369,1
49,650472,0
28,976385,1
21,1103649,0
23,400015,0
44,1372914,0
43,1276419,0
28,1912982,1
57,1206840,1
23,1181489,1
53,565208,1
48,427997,0
28,1374993,1
54,1365161,0
55,754634,0
52,419356,1
44,1633872,1
34,1098201,1
52,1875255,1
63,684600,0
36,1695318,0
24,1020015,0
57,1392211,0
41,377132,1
34,460609,0
51,846231,0
38,969822,0
27,889050,0
30,1621953,0
27,425784,0
53,214925,1
43,1990723,0
41,1331760,0
39,1849379,1
39,399330,0
56,860715,0
49,1556789,1
38,949695,1
22,1349430,1
21,1040903,1
25,494849,0
40,374981,0
31,419678,0
62,328501,1
22,1364937,0
23,1433387,1
43,407892,0
32,811561,0
40,1533961,1
25,1669206,0
57,250818,0
58,351967,0
50,554451,1
29,1442057,0
54,1697116,1
64,1577640,1
55,646771,1
42,318642,0
64,1576173,0
44,1009121,1
37,395428,0
30,1996947,1
50,601468,1
43,1017276,0
52,295687,0
37,1747334,0
37,1909962,1
34,490667,0
29,714513,0
60,1390130,1
22,312105,0
45,1886748,1
59,1879832,1
29,1994580,1
42,1642285,0
63,1697986,0
24,1854865,1
46,239767,0
49,753838,1
54,1772837,1
43,1393481,1
57,1382618,1
31,1871179,0
26,295494,0
38,1240016,1
41,1900288,1
62,1100287,0
56,1331257,1
61,904537,0
58,1116978,1
54,1500987,0
37,916861,0
57,753188,1
45,214126,0
58,1884062,1
32,1974626,1
43,1991680,1
62,541447,1
42,416651,0
41,529205,1
47,1740856,1
51,216978,0
26,1829208,1
47,1557368,1
60,1511775,1
54,275582,0
32,1481035,0
27,805502,0
30,638092,0
37,1760155,1
46,947520,0
41,1811589,1
48,598471,1
22,668163,0
63,1039812,1
21,970008,0
56,777621,1
46,504603,0
49,1102950,1
41,498307,0
31,1413619,0
60,1738563,1
31,1969085,1
56,1244654,1
59,1595450,1
60,481620,0
55,1579300,1
54,1500407,1
44,1092008,0
42,548737,1
25,924410,0
53,1455174,0
56,1746288,1
40,1887696,1
39,1649299,0
55,1712185,0
63,867478,0
37,381601,0
63,268682,0
54,1471585,1
29,647392,0
46,1495129,1
22,1602433,1
29,1614780,1
29,859774,0
60,1331606,1
37,1368936,0
21,859297,0
45,1204366,0
63,894025,1
60,667726,1
62,1754473,1
45,1135004,0
59,1362936,0
55,1512470,0
23,789306,0
57,1242960,0
64,1645819,1
64,336817,1
50,392803,0
58,1859848,1
54,1014883,1
32,555887,0
39,1057906,1
57,1965472,1
64,1260726,0
37,999838,0
30,1399429,0
32,1437065,0
36,1102479,0
44,1791189,1
39,399756,0
28,1756339,0
51,1977405,0
41,217669,1
37,1113817,1
43,534154,0
57,1754775,1
36,407836,0
26,1740866,1
28,332915,0
45,396681,0
38,775100,0
45,1002491,0
32,1596989,0
35,977150,1
46,1420416,0
61,225395,1
46,1530922,0
52,1130777,1
30,1478283,1
36,971469,0
27,1976984,1
37,424839,0
43,1468458,0
46,1876099,0
41,1818374,1
42,1860809,0
27,1491378,0
34,974456,1
35,1057081,0
27,1093155,0
29,727169,0
28,1032345,1
43,1884724,1
49,1071217,1
38,658253,1
51,366415,1
50,1704181,1
59,671466,0
55,1388304,1
38,1516461,1
62,347733,0
59,1015122,1
37,494977,0
34,826854,0
51,1319816,1
44,831186,1
55,1588431,1
64,1174645,1
54,409304,0
23,555734,0
57,1329098,0
63,573798,0
60,869800,0
46,319107,0
43,601176,0
64,1271038,1
59,1243423,0
35,620474,0
24,292889,0
49,288952,0
42,917884,1
45,615331,0
33,1104498,0
38,901793,1
53,421576,1
36,1205771,0
62,943681,1
64,698149,0
22,1065796,1
55,1056509,0
62,502788,1
54,524787,0
50,1524031,1
33,1240725,1
33,454084,0
38,329466,0
52,1279107,1
52,214588,1
55,343452,1
59,1946581,1
49,1659610,1
49,1410505,1
64,1794575,1
36,860457,1
64,1932329,1
30,1594994,1
50,519753,0
45,1933253,1
59,1746557,0
40,1307056,0
25,993476,0
21,1188537,0
50,974597,1
23,255486,0
34,1303738,0
50,934647,1
24,229882,0
38,778366,0
57,1045166,1
45,1487256,1
21,1881594,0
35,374898,1
29,1598705,1
35,506172,0
44,712871,1
24,823226,0
32,842607,1
57,756831,0
57,848567,0
63,229362,1
26,620531,0
59,358818,1
44,603273,0
31,1491297,1
33,1029347,0
54,1138565,1
45,889517,0
27,573519,0
24,1390970,1
28,1842676,1
40,671058,0
49,1020449,1
30,1043224,0
63,1145246,1
54,1476784,0
46,1237904,0
61,1639918,1
23,1901478,1
26,296950,0
25,374942,0
25,1313405,0
43,969890,0
29,1783452,1
55,1091712,0
40,696195,0
62,1551441,0
55,892505,1
38,472743,0
37,534738,0
44,675958,0
23,932790,0
52,1906875,1
55,452856,0
58,484293,1
33,921927,0
45,1389856,0
29,397170,0
24,1619754,1
34,1429140,0
57,1269527,1
54,379992,0
31,771054,0
61,1407999,1
23,677432,1
48,1691178,1
49,811410,0
29,995740,1
23,1045684,0
45,668361,0
54,1212535,1
32,1331787,1
62,1669856,0
29,647095,0
35,1375110,1
60,733008,0
45,588348,0
25,1684732,1
31,804281,1
54,1185979,1
44,509257,0
35,1035358,1
58,1679995,1
28,1992837,1
25,1798769,1
46,404580,0
38,774673,0
26,1279229,0
57,1340441,1
33,1726512,0
48,850101,0
25,1394447,0
33,1964039,1
37,448535,0
60,1787916,1
52,337116,1
49,350943,1
23,420375,0
60,705935,0
54,1794245,1
60,1921210,1
47,967522,0
33,1205344,1
53,545252,0
26,1483596,1
44,249892,1
39,381593,0
36,1077933,0
60,939280,1
48,545535,1
53,480064,0
61,1504792,1
33,1220961,1
63,1407935,1
45,983059,0
62,325702,1
56,273527,1
47,1395087,0
58,1115108,1
27,949980,0
25,1028667,1
63,883019,0
51,487120,0
43,1483887,1
62,1069075,1
30,923225,0
52,1618351,0
63,923666,1
50,1829561,1
59,794670,0
51,1003083,1
38,380116,0
56,214633,0
22,279164,0
34,987001,0
33,653116,0
49,1053941,0
32,323425,1
59,974508,0
22,1638242,1
52,495182,0
33,1428736,0
47,1452825,0
61,405538,0
37,665432,0
60,922153,0
51,1715578,0
54,1548858,1
44,1180814,0
55,401466,0
26,1224389,0
39,672243,0
50,1732622,1
27,1435799,1
30,1097172,0
61,1884038,1
52,511416,0
54,337980,0
48,604060,0
35,1037887,1
50,1220669,1
57,1841311,1
49,929887,0
42,1587828,0
24,636282,0
40,426301,0
52,1157508,1
56,1024765,1
24,1107651,0
47,1593749,1
37,1550417,0
32,1111952,0
42,611249,1
37,1190391,1
30,255063,1
21,743628,1
42,787069,1
46,1259214,0
38,417986,0
34,1555044,1
49,1599076,0
32,421668,0
56,494786,0
55,715518,0
32,749666,1
27,1584406,0
49,505019,0
31,1366747,0
53,1610781,1
26,1987665,1
35,788665,0
52,984627,1
31,778979,1
43,1238240,1
46,1706095,1
54,1702631,1
54,511207,0
49,816070,0
24,278343,0
37,545215,1
55,1122996,1
33,845687,1
61,755645,0
59,1713630,1
35,641913,0
49,794571,1
49,259567,1
31,509150,1
52,437778,1
22,1390334,1
34,1834470,1
40,1529611,1
42,1693907,1
31,826020,1
47,916079,1
23,1212968,0
37,1190534,1
64,1154227,1
48,1016309,1
49,449465,1
41,424589,0
36,738314,0
57,1531142,1
40,495625,0
26,833672,1
39,1501347,1
25,258031,0
23,554398,0
21,792520,0
58,1915948,1
35,542368,1
54,616673,1
55,663788,0
45,960791,0
44,1219526,0
32,287695,0
38,1378642,1
35,1387558,0
64,1513413,1
36,1888177,1
47,753098,0
28,744380,1
45,1730571,1
37,1830969,0
49,1934441,1
28,1452876,1
35,490699,0
47,796222,0
27,1845652,0
23,1063689,1
49,1653617,0
64,1732579,1
44,695707,0
23,355223,0
40,1900932,1
35,1772900,0
45,1604668,1
50,763339,1
34,691513,0
27,280738,0
37,535740,0
64,1832935,1
40,330613,0
56,273601,0
29,1278449,1
58,1940584,1
42,1320044,0
22,1012902,1
44,1969065,1
28,1256904,1
31,337405,0
33,975807,0
37,321173,0
28,246638,0
41,997700,0
38,1450251,1
50,1362496,1
38,610261,0
51,1944677,1
58,1684562,1
52,207887,0
31,953266,1
45,1222658,1
53,1273494,1
58,1021929,1
61,555706,0
28,916369,1
31,1522649,1
42,1755084,1
44,1875065,1
61,720337,1
37,1217977,0
32,934459,0
52,1627286,0
35,490690,0
36,1238646,0
42,409496,1
48,892698,0
40,1676075,1
53,806782,0
30,1719962,1
60,1988723,1
52,508710,0
53,547608,1
22,1376855,0
53,281991,0
53,554824,1
61,1538733,1
33,1300708,0
50,455069,0
53,685714,0
33,883444,1
46,876503,0
42,1340203,1
59,322772,1
22,1477991,0
58,1176230,1
59,865582,1
46,1177469,0
35,1761853,1
54,1507589,1
62,1665741,0
64,1264692,1
60,906412,1
31,1824233,1
23,904177,0
26,433982,1
29,1987139,1
26,405383,0
29,491799,0
59,388874,0
51,1820496,1
52,1131697,1
61,411284,0
32,1934712,1
28,636441,0
28,1439658,1
48,413807,0
40,1445099,0
27,1952748,1
31,673818,1
40,1529615,1
36,1138713,1
24,1484468,0
26,1986272,0
42,442718,0
46,917167,0
23,747374,0
61,1334213,1
62,675243,0
34,1931143,1
31,569478,0
38,1924833,1
32,787371,0
43,1343604,1
32,1870415,1
33,862643,0
45,1866888,1
39,462399,0
56,1763728,0
28,407627,0
49,1788351,0
52,1749125,1
64,1792210,1
38,1021482,1
26,470888,0
38,617972,0
39,1310172,1
42,1987333,1
57,1630360,0
52,1041464,0
61,1029119,0
23,377175,0
48,1401624,0
30,593807,0
55,1254853,1
49,1048292,1
35,333332,0
53,1489091,1
27,1969819,1
32,486885,0
50,581864,0
41,1547931,0
51,964752,1
44,982733,0
40,634758,1
57,1517589,1
24,1735410,1
48,549760,0
64,294515,0
40,1399070,0
44,1939549,1
52,1436664,1
61,1832974,1
56,419601,1
54,933282,0
56,496177,1
22,1509281,0
35,1703785,0
54,212938,1
56,1379418,0
26,1194199,0
59,1512994,0
62,625031,0
32,1717810,0
23,1398609,0
38,1268620,1
60,1347948,1
41,1139479,0
35,1525426,1
53,1385622,1
55,538608,0
46,745501,1
28,1774814,1
56,1502619,1
50,1988949,0
43,1204735,0
62,1573464,1
64,873131,1
